Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
2.4233826084243468e-11,1546.3000000000002,1.0000000000000002,8.762889961170086e-08,0.5769229273179376,9.919445068720373e-08,0.38461525736897206,8.831173474388481e-08,5.099940405567605e-09,0.03846153507806472,0.6220066236705398,9.864434794543804e-06,8.118302319859959e-07,0.003918484443316449,6.125487602788374e-05,4.684221471347844e-09,2.383101483099446e-06,8.664045818470062e-09,7.855492906865247e-11,1.7619183259310342e-06,0.3739988022984579
3.3046021027070534e-11,1546.3000000000002,1.0000000000000002,1.3436374557002766e-07,0.576922847528582,1.5209850423637616e-07,0.38461518950448226,1.354110971078927e-07,7.820027795309364e-09,0.03846153327356072,0.6220066953980359,9.864508818665084e-06,8.118696035929905e-07,0.00391851452580883,6.125712306467691e-05,4.684394522186804e-09,2.383112342403304e-06,8.664086229379705e-09,7.855529545137127e-11,1.7619270472250048e-06,0.3739986981082427
5.0670410912724674e-11,1546.3000000000002,1.0000000000000002,2.2783310881633334e-07,0.5769226879485149,2.5790830829274016e-07,0.38461505377480787,2.296102065894084e-07,1.3260501965128594e-08,0.03846152966455164,0.6220068388527888,9.86465686450451e-06,8.119483476570236e-07,0.0039185746898750505,6.1261617146313e-05,4.684740624628632e-09,2.3831340606466605e-06,8.664167049896811e-09,7.855602820500234e-11,1.761944489557598e-06,0.3739984897289639
8.591919068403293e-11,1546.3000000000002,1.0000000000000002,4.1477052059470467e-07,0.5769223687829549,4.69534704002762e-07,0.3846147823126791,4.180099644498343e-07,2.414264784889945e-08,0.03846152244652914,0.622007125761338,9.864952946571663e-06,8.121058391851823e-07,0.0039186950143336105,6.127060534178205e-05,4.685432832567759e-09,2.3831774956760366e-06,8.664328685722664e-09,7.855749366504175e-11,1.7619793732014571e-06,0.373998072975013
1.564167502266495e-10,1546.3000000000002,1.0000000000000002,7.886400848642922e-07,0.5769217304301341,8.928146448524855e-07,0.38461423937730443,7.94815635042598e-07,4.5911729815789916e-08,0.03846150801046693,0.6220076995746117,9.865545072262551e-06,8.124208358414554e-07,0.003918935648556517,6.128858186149139e-05,4.6868172606664085e-09,2.383264359905968e-06,8.664651936542818e-09,7.856042439624665e-11,1.7620491364042445e-06,0.3739972394855366
2.9741186931188253e-10,1546.3000000000002,1.0000000000000002,1.1625026361836079e-06,0.5769210920483805,1.316130783719615e-06,0.3846136964271079,1.1716295112012977e-06,6.768719875031102e-08,0.03846149357438179,0.6220082733827852,9.866137146702357e-06,8.127358506305872e-07,0.003919176263189742,6.130655855288328e-05,4.688201705057525e-09,2.3833512163651444e-06,8.664975159591169e-09,7.856335487565225e-11,1.76211889416116e-06,0.3739964060206241
4.3840698839711564e-10,1546.3000000000002,1.0000000000000002,1.5363581737547644e-06,0.5769204536376961,1.7394831189264603e-06,0.3846131534620912,1.5484515916338362e-06,8.946905470677339e-08,0.03846147913827376,0.6220088471858598,9.866729169899684e-06,8.130508835520084e-07,0.003919416858236569,6.132453541593712e-05,4.689586165739025e-09,2.3834380650548465e-06,8.665298354872299e-09,7.856628510330015e-11,1.7621886464731021e-06,0.37399557258027194
5.794021074823487e-10,1546.3000000000002,1.0000000000000002,2.2840482032148585e-06,0.5769191767295463,2.5862963691986415e-06,0.3846120674876058,2.302120358198617e-06,1.3305192800812905e-07,0.03846145026598921,0.6220099947767113,9.867913062599255e-06,8.136810037877802e-07,0.0039198979895833505,6.136048965685863e-05,4.6923551359579985e-09,2.3836117391306343e-06,8.665944662150052e-09,7.857214480347825e-11,1.7623281347654008e-06,0.3739939057732365
8.613923456528148e-10,1546.3000000000002,1.0000000000000002,2.9569452342642412e-06,0.5769180274132897,3.3485520683742583e-06,0.3846110900599012,2.9804502931245283e-06,1.7229835819471742e-07,0.03846142428085526,0.6220110275910419,9.868978390863592e-06,8.142481740060193e-07,0.003920330940842052,6.13928490605293e-05,4.694847264844516e-09,2.3837680192397168e-06,8.666526243780738e-09,7.857741767303148e-11,1.7624536556153849e-06,0.3739924057308651
1.1151835600062345e-09,1546.3000000000002,1.0000000000000002,3.62981952746097e-06,0.5769168780033309,4.110925016060926e-06,0.3846101125842061,3.65880678847883e-06,2.1156548328211407e-07,0.03846139829564778,0.6220120603888559,9.870043553229742e-06,8.148154029625792e-07,0.0039207638286894815,6.142520901998425e-05,4.697339446473455e-09,2.38392427419464e-06,8.667107735513306e-09,7.858268972750334e-11,1.7625791588368892e-06,0.3739909057680156
