iteration,CH4,cat_area_per_vol_1_per_cm,diameter_cm,porosity
1,0.24948394787407593,1920.8162648503417,2.7553020110824726,0.49051602379145554
2,0.24948394787407593,1920.8162648503417,2.7553020110824726,0.49051602379145554
3,0.24905103075358587,1795.4388892678867,2.8853944365993964,0.48814690630935365
4,0.2458150613840352,1867.4146431382112,2.966598084207391,0.4924713939236194
5,0.24491410656114174,1924.8180331526135,2.9940635239558,0.4881837095965905
6,0.24476430773550092,1903.3574462916986,2.9807059724150857,0.4944087657018267
7,0.2439696361563785,1972.0541666288505,2.9698153569927404,0.494251649700266
8,0.2439696361563785,1972.0541666288505,2.9698153569927404,0.494251649700266
9,0.2433028762285234,1992.7552612509098,2.9668055363794883,0.49788223127299824
10,0.2433028762285234,1992.7552612509098,2.9668055363794883,0.49788223127299824
11,0.24329651583815048,1982.6871097504977,2.9890683227120274,0.49548154658042565
12,0.24329651583815048,1982.6871097504977,2.9890683227120274,0.49548154658042565
